"ATC 분류별","항목","단위","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"소화기관 및 신진대사_A","소비량[DDD/1,000명/일]","DDD/1,000명/일","263.6","288.8","278.1","240.6","245.7","330.9","422.9","370","217.5","219.3","223.5","256","315.9","325.6","365.2","370.6",
"제산제_A02A","소비량[DDD/1,000명/일]","DDD/1,000명/일","2.2","3","2.9","3.7","3.6","4.1","4.5","4.7","3.1","3.2","3.5","3.7","4.6","4.8","4.5","4.4",
"위궤양 치료제_A02B","소비량[DDD/1,000명/일]","DDD/1,000명/일","33.1","32.9","34.6","37.8","39.9","42.3","45.2","46.1","41.8","43","46.8","61.2","75.4","81.5","88.8","90.8",
"당뇨병 치료제_A10","소비량[DDD/1,000명/일]","DDD/1,000명/일","59.8","68.1","65.5","64.1","64.3","65.4","60.8","61.7","60.3","63.1","65.2","67.8","72.7","78.5","81.4","86",
"혈액 및 조혈기관_B","소비량[DDD/1,000명/일]","DDD/1,000명/일","26.8","73.2","80.1","86.1","86.8","90.1","96.2","87.6","79.9","81.4","83.9","85.2","90.8","93.1","93.8","233.3",
"심혈관계_C","소비량[DDD/1,000명/일]","DDD/1,000명/일","204.9","210.5","204.8","208.5","211.9","217.7","212","212.7","208.9","213","218.3","221.8","240.3","254.9","257.3","257.7",
"강심배당체_C01A","소비량[DDD/1,000명/일]","DDD/1,000명/일","1.5","1.4","1.4","1.4","1.4","1.4","1.3","1.2","1.1","1",".9",".9","1",".9",".8",".8",
"항부정맥약_C01B","소비량[DDD/1,000명/일]","DDD/1,000명/일",".6",".6",".7",".9",".9",".9","1","1.1","1.1","1.3","1.4","1.6","1.8","2","2.2","2.4",
"혈압강하제_C02","소비량[DDD/1,000명/일]","DDD/1,000명/일","2.9","3.1","2.5","2.5","2.5","2.5","2.3","2.2","2","1.9","1.9","1.8","1.9","1.9","2.2","2.2",
"이뇨제_C03","소비량[DDD/1,000명/일]","DDD/1,000명/일","20.5","20.2","19.2","20.3","19","18.7","17.9","17.4","14.7","14.6","14.6","14.4","15.4","15.8","15.8","15.7",
